Game ID,Result
4906479,1.79x
4906480,8.77x
4906481,1.53x
4906482,1.05x
4906483,24.72x
4906484,1.1x
4906485,1.79x
4906486,1.73x
4906487,1.4x
4906488,1.2x
4906489,1.1x
4906490,16.8x
4906491,1.27x
4906492,2.83x
4906493,1.19x
4906494,2.03x
4906495,1.48x
4906496,29.76x
4906497,2.05x
4906498,2.03x
4906499,2.36x
4906500,2.98x
4906501,4.78x
4906502,34.37x
4906503,3.28x
4906504,4.5x
4906505,1.39x
4906506,1.05x
4906507,1x
4906508,2.12x
4906509,1x
4906510,2.27x
4906511,3.33x
4906512,2.78x
4906513,17.65x
4906514,2.13x
4906515,1.06x
4906516,1.45x
4906517,5.15x
4906518,1.74x
4906519,2.57x
4906520,6.94x
4906521,1.27x
4906522,1.65x
4906523,1.53x
4906524,2.9x
4906525,1.59x
4906526,2.17x
4906527,2.52x
4906528,2.47x
4906529,1.3x
4906530,3.66x
4906531,7.74x
4906532,1.12x
4906533,1.45x
4906534,1.46x
4906535,5.48x
4906536,46.71x
4906537,3.73x
4906538,1.07x
4906539,1.18x
4906540,1.7x
4906541,1.37x
4906542,10.03x
4906543,1.17x
4906544,2.15x
4906545,2.1x
4906546,1.16x
4906547,1.72x
4906548,1.66x
4906549,1.03x
4906550,1.02x
4906551,1.02x
4906552,1.04x
4906553,4.35x
4906554,1.36x
4906555,2.15x
4906556,137.82x
